dataset,frame,llava_count,llava_confidence,llava_scene
part1_nv,frame_0372.jpg,3,0.95,"The image depicts a city street scene with three pedestrians visible: one walking on the left, one standing in the crosswalk, and one walking on the right. The environment includes buildings, trees, and various storefronts. There are also several vehicles parked or moving along the street. The presence of people near vehicles and in crosswalks suggests a typical urban setting with pedestrian activity."
part1_nv,frame_2373.jpg,0,0.95,"The image depicts a street scene with a building that appears to be a retail establishment. There is a storefront with mannequins in the window display, which are not real people. The storefront has posters of women's faces, but they are not real people and do not count as pedestrians. There are no visible pedestrians on the street itself."
part1_nv,frame_1065.jpg,6,0.95,"The image depicts a busy urban street scene with several pedestrians going about their day. The focus is on the people walking and standing in various positions, indicating a typical day in a bustling city environment."
part1_nv,frame_1094.jpg,5,0.8,"The image depicts a busy urban street scene with several pedestrians visible. The focus is on the people walking and standing near the buildings, which include shops and possibly an office building. There are also some individuals in shadows or behind glass that are partially visible. The presence of vehicles and traffic lights suggests this is a main road in a city center. The image has been processed with object detection software to identify and count pedestrians, as well as to reject certain objects like mannequins and vehicle reflections."
part1_nv,frame_4224.jpg,2,0.85,"The image depicts an urban scene with a storefront displaying a mannequin and a poster with a human image, which are both rejected as they do not represent actual pedestrians. There are two visible adults in the scene; one is standing on the sidewalk to the left of the frame, and the other is standing in front of the store window. The setting appears to be a commercial area with shops and possibly residential buildings in the background."
part1_nv,frame_2381.jpg,2,0.85,"The image shows an urban scene with two pedestrians. On the left side of the frame, there is an adult walking on the sidewalk. In the center, another adult is standing in front of a storefront. The background features a building with a red facade and a large window displaying mannequins. There are no visible vehicles or crosswalks in this image."
part1_nv,frame_1547.jpg,2,0.85,"The image depicts an urban scene with a bus stopped at a bus stop in front of a building with arched doorways and awnings. There are two pedestrians visible: one walking to the left of the frame and another standing on the sidewalk to the right. The bus appears to be a public transit vehicle, and there is no evidence of any other people or objects that could be mistaken for humans in this image."
part1_nv,frame_0369.jpg,3,0.95,"The image depicts an urban scene with a city street corner. There are three visible pedestrians: one walking, one standing in the crosswalk, and one waiting at a bus stop. The environment includes buildings, trees, and a clear sky. There are no mannequins or posters with human images that can be confidently identified."
part1_nv,frame_3392.jpg,2,0.85,"The image depicts a city street scene, with a blue car parked near the curb. There are two pedestrians visible: one walking to the left and another standing on the sidewalk to the right of the car. The vehicle's window reflects the image of a person, which is likely a passenger inside the car. There is also a poster with a human image displayed on the building facade in the background."
part1_nv,frame_1441.jpg,2,0.95,"The image shows an urban scene with a street intersection. There are two pedestrians visible: one walking to the left and another standing near a bus stop. The person walking is captured in mid-stride, while the standing individual appears to be waiting for public transportation. A vehicle is present on the right side of the image, but its reflection in a window creates an ambiguous situation that could potentially be mistaken for a human figure. There are no mannequins or posters with human images visible in this scene."
part1_nv,frame_1100.jpg,7,0.85,"The image depicts a busy urban street scene with multiple pedestrians engaged in various activities such as walking and standing. The setting appears to be a commercial area with stores, a sidewalk, and a crosswalk. There are no visible vehicles or mannequins that resemble humans."
part1_nv,frame_3313.jpg,3,0.85,"The image depicts a busy urban scene with pedestrians on a sidewalk and street corner, as well as vehicles and buildings in the background. The focus is on the people walking or standing near the camera's perspective."
part1_nv,frame_1803.jpg,2,0.95,"The image shows an urban scene with a storefront displaying various items, including eyeglasses. A person is walking on the sidewalk to the left of the store, and another person is standing in front of the store. There are no mannequins or posters that resemble humans in this view. The environment appears to be a commercial area with shops and pedestrians."
part1_nv,frame_2374.jpg,0,0.95,The image depicts an urban street scene with a storefront displaying mannequins. There are no real pedestrians visible in this image.
part1_nv,frame_2478.jpg,3,0.95,"The image depicts a city street scene with three visible pedestrians: one walking to the left, one standing in front of a store, and one walking to the right. There are no mannequins or reflections that resemble humans. The confidence level for this analysis is high due to clear visibility of the individuals."
part1_nv,frame_2375.jpg,1,0.95,"The image depicts an urban scene with a red building on the corner of a street, which appears to be a retail store. There is one visible pedestrian standing in front of the store. The image also contains mannequins and posters within the store window display, which are not considered as humans for this analysis."
part1_nv,frame_1372.jpg,5,0.85,"The image depicts a busy urban scene with multiple pedestrians visible. There is a car parked on the side of the street, and the building facade has various signs and advertisements. The photo appears to be taken from inside another vehicle, as indicated by the reflection in the side mirror."
part1_nv,frame_1473.jpg,2,0.85,This is an urban scene featuring a street corner with a pedestrian crossing and a car parked by the sidewalk. The image was taken during daylight under cloudy skies.
part1_nv,frame_4231.jpg,0,0.95,"The image depicts an urban scene with a storefront on the corner of a street. There are no visible pedestrians within the frame; only a mannequin is present in the store window, which is clearly distinguishable from a real person due to its pose and lack of movement."
part1_nv,frame_3276.jpg,3,0.95,"The image depicts a city street scene. There are three visible pedestrians: one adult walking to the left, another standing in front of a storefront, and a third adult walking to the right. The storefront has a reflection of a person, which is likely due to the glass window. There are no mannequins or vehicle parts that resemble humans in this image."
part1_nv,frame_3136.jpg,7,0.95,"The image depicts a busy urban scene with multiple pedestrians walking and standing near shops. The presence of storefronts, traffic signs, and vehicles suggest this is a commercial area in a city. The weather appears to be overcast, and the lighting suggests it might be late afternoon or early evening."
part1_nv,frame_4034.jpg,2,0.85,The image shows an urban scene with two visible pedestrians: one walking on the left side and another standing on the right side. There are no mannequins or reflections that resemble humans in this image.
part1_nv,frame_1474.jpg,7,0.85,"The image depicts a city street scene with several pedestrians visible. The weather appears to be overcast, and the lighting suggests it might be late afternoon or early evening. There are no mannequins or posters of humans in this scene."
part1_nv,frame_3272.jpg,7,0.85,"The image depicts an urban scene with several pedestrians, including individuals walking and standing near storefronts. There is a crosswalk where one person appears to be waiting to cross. The setting includes a building with a blue sign, a bench, and a vehicle parked on the street. The reflection of a person in the glass of the storefront is visible, but it is not an actual human. The front end of a vehicle is also present in the image, which may resemble a human figure due to its shape."
part1_nv,frame_2535.jpg,6,0.95,"This is a busy urban scene with multiple pedestrians walking on the sidewalk and standing near storefronts. The image captures a moment of everyday life, showing people going about their day. There are no mannequins or statues visible in this image."
part1_nv,frame_1263.jpg,13,0.95,"The image depicts a busy urban scene, likely taken from inside a vehicle. There are multiple pedestrians visible, including individuals walking and standing in the crosswalk, as well as those waiting on benches. The presence of a vehicle's reflection in the glass suggests that the photo was taken from within a car or bus. The overall atmosphere is one of everyday city life with people going about their daily routines."
part1_nv,frame_3146.jpg,2,0.95,"This image depicts an urban scene with a pedestrian crossing at a crosswalk. There are two visible individuals: one walking and one standing on the sidewalk. The setting includes a building with a poster, a street corner with a bench, and a storefront. The environment suggests it is a city area with commercial establishments."
part1_nv,frame_0967.jpg,4,0.95,"The image depicts an urban street scene with a few pedestrians, trash cans, and a storefront. The focus of the image is on the people, with one individual walking away from the camera and others standing or waiting near the store entrance. The presence of trash cans indicates that this is a public area, possibly a commercial district given the storefront. There are no objects in the scene that resemble humans or could be mistaken for them."
part1_nv,frame_4230.jpg,0,0.95,
part1_nv,frame_1119.jpg,8,0.95,"The image shows an urban scene with several pedestrians walking along a city sidewalk. There are also some people standing near storefronts, possibly waiting to enter or just taking a break from their walk. The environment suggests a busy shopping district with various stores lining the street."
part1_nv,frame_2377.jpg,0,1.0,
part1_nv,frame_2030.jpg,1,0.85,"The image depicts an urban scene with a person walking on the sidewalk near a storefront. There is a car parked in front of the store, and the reflection of a pedestrian can be seen on the car window. The store has a sign that reads 'DORMITELDA' and another sign with the name 'ALMA MANJERA'. The person appears to be casually dressed and is carrying a handbag. There are no other visible pedestrians, and there are no mannequins or posters with human images in this image."
part1_nv,frame_1129.jpg,2,0.95,"The image shows an urban scene with two visible pedestrians: one walking on the sidewalk and another standing near a building entrance. There are also posters and reflections that might be mistaken for people, but they are not actual individuals."
part1_nv,frame_1404.jpg,6,0.95,"The image shows a busy urban street with pedestrians on the sidewalk and in front of stores. The scene includes a building with a storefront, vehicles parked or moving on the street, and traffic lights controlling the flow of traffic. There are also people riding motorcycles and scooters. The focus is on the pedestrian activity, and the image has been processed to differentiate between humans and objects that might be mistaken for people."
part1_nv,frame_1121.jpg,2,0.95,The image depicts a city street scene with two visible pedestrians: one walking along the sidewalk and another standing in front of a store. The presence of mannequins and posters with human images are rejected as they do not represent actual people.
part1_nv,frame_3144.jpg,4,0.95,"The image depicts a busy urban street scene with pedestrians and vehicles. There is a building on the left side with a sign, and a storefront on the right. The street has a crosswalk and a sidewalk. The weather appears to be overcast."
part1_nv,frame_1377.jpg,7,0.95,"This image depicts an urban scene with several pedestrians. There are people walking and standing on the sidewalk in front of a building. The environment suggests a commercial area with shops and businesses. The presence of traffic signs, streetlights, and vehicles indicates that this is a busy city street."
part1_nv,frame_3407.jpg,4,0.85,"The image depicts a busy urban street scene with multiple pedestrians and vehicles. The focus is on the car in the foreground, which has a reflection of a person in its window that was initially mistaken for a human. There are also several people visible on the sidewalks, including an adult walking left, a child walking left, and two adults standing right. The scene includes various elements typical of a city street, such as buses, buildings with signs, and trees."
part1_nv,frame_3926.jpg,0,1.0,
part1_nv,frame_3132.jpg,7,0.95,"The image depicts a busy urban scene with multiple pedestrians walking or standing on the sidewalks. There are no mannequins, statues, or posters with human images visible. The reflections and vehicle parts that resemble humans have been identified and marked as rejected objects."
part1_nv,frame_3397.jpg,2,0.85,"The image shows an urban scene with a car parked on the side of the street near a bus stop. There is a pedestrian crossing the street in the crosswalk, and another person standing on the sidewalk. The vehicle's reflection in its window suggests a second pedestrian, but this is likely due to the angle and reflections rather than an actual person. Additionally, there appears to be a car part that resembles a human figure, possibly a mannequin or sculpture, which has been mistaken for a person."
part1_nv,frame_1520.jpg,0,0.95,The image depicts an urban scene with a large city bus parked on the side of a street. There are no visible pedestrians in this image.
part1_nv,frame_0366.jpg,2,0.95,"The image depicts an urban scene with two pedestrians visible. On the left side of the image, there is an adult walking away from the camera. On the right side, there is another adult standing near a building. There are no mannequins or statues present in the image. The car part visible on the right side of the image has been identified and rejected as not being a human."
part1_nv,frame_1118.jpg,8,0.95,"The image depicts an urban scene with multiple pedestrians walking or standing on the sidewalk in front of a store. The environment suggests a commercial area with shops and possibly a café or restaurant. There are no vehicles, mannequins, or other objects that resemble humans in this image."
part1_nv,frame_2371.jpg,0,0.95,The image shows a city street scene with a storefront on the corner. The storefront has mannequins and posters of women's faces. There is no evidence of any pedestrians in this image.
part1_nv,frame_3417.jpg,2,0.95,"The image depicts a busy urban street scene. There are two pedestrians visible: one walking on the sidewalk to the left and another standing on the corner to the right. The car in the foreground has a reflection of a person on its window, which is likely a passerby. In the background, there appears to be a mannequin or statue that does not have any human features and is stationary, so it is not considered a pedestrian."
part1_nv,frame_2384.jpg,1,0.85,"The image shows a city street scene with a building on the corner. There is one visible pedestrian walking on the sidewalk. The mannequin is present in the storefront, which is part of the building's facade. No other people are visible in this particular frame."
part1_nv,frame_4215.jpg,2,0.95,"The image depicts an urban scene with two pedestrians, one walking and the other standing near a building under construction. There is a vehicle parked on the street, and the sidewalk has a colorful design. The overall atmosphere suggests a busy city environment."
part1_nv,frame_0375.jpg,3,0.85,"This urban scene depicts a city street with pedestrians. There are three visible humans: one walking on the left side of the road, another standing in the crosswalk, and a third walking on the right side of the road. The image captures a typical day in an urban setting with buildings, trees, and vehicles."
